Site_ID,campsite,dist,canopy,reps,basal_class,basal_percent,litter,temp,pH,GWC,BG_25,CB_25,NAG_25,PHOS_25,XYL_25,AG_25,LAP_25,BG_35,CB_35,NAG_35,PHOS_35,XYL_35,AG_35,LAP_35,TOC,EC,micC,soil_C,DOC,EN,micN,soil_N,TDN,SAC,SAN,C_N
417-05 Re1A,4175,Re,1,A,1,3,0.00001,28.2,7.67,0.089,16.34492368,2.32598685,3.393677561,26.18459539,4.03540776,1.295114697,11.50839898,21.76179269,4.524328735,2.050974434,30.00610045,5.601687773,2.925666937,30.81988795,0.153,6503,963407.4074,1.845,0.027675,851.8,105160.4938,0.5457,0.0081855,3.05E-05,2.48E-05,3.38097856
417-05 Re1B,4175,Re,1,B,2,10,9.3,35.5,6.61,0.074,13.81713191,1.548310745,0.550950568,67.00545525,1.5877691,1.779497749,18.54952003,23.50612464,4.672391564,0.573320113,142.155192,6.479861921,2.75195431,46.63080041,0.16,8910,1320000,3.222,0.04833,976.4,120543.2099,0.6431,0.0096465,2.13E-05,2.51E-05,5.010107293
417-05 Re1C,4175,Re,1,C,1,2,5.5,26.6,7.18,0.152,16.4603454,1.964535091,8.953586488,46.37838997,4.280595008,0.71113796,14.14431073,20.44670229,4.093040908,6.763053428,78.18369412,1.850041202,1.692022224,30.00979525,0.247,3937,583259.2593,5.805,0.087075,3.4,419.7530864,2.1361,0.0320415,4.41E-05,5.13E-05,2.717569402
417-05 Re1D,4175,Re,1,D,2,6,2.5,29.8,6.13,0.065,6.342106744,0.792959147,9.02317873,46.61109221,1.751553774,0.957289654,10.33947387,15.47480225,4.890033271,10.49426212,94.46763361,5.729156473,1.11470417,18.85523846,0.158,7832,1160296.296,6.47,0.09705,735.4,90790.12346,1.4521,0.0217815,1.60E-05,2.10E-05,4.455616004
417-05 Re2A,4175,Re,2,A,1,1,0.00001,33.4,6.73,0.049,0.181472005,0.594985547,1.167411929,6.782684629,0.996479051,0.229268692,29.46351176,27.10603713,1.161904808,2.928188111,130.3568965,1.511304397,NA,20.12260853,0.072,2234,330962.963,1.601,0.024015,33.2,4098.765432,0.2834,0.004251,4.80E-05,8.11E-05,5.649258998
417-05 Re2B,4175,Re,2,B,2,15,0.00001,36.1,6.4,0.029,7.073358443,1.773421209,2.275783297,30.40722492,2.473323274,1.030257457,49.70297363,89.88534192,15.08014883,16.83300758,258.1274899,22.51153956,2.53625343,38.94490762,0.098,3075,455555.5556,2.643,0.039645,188.4,23259.25926,0.5061,0.0075915,0.000156253,0.00011827,5.222288085
417-05 Re2C,4175,Re,2,C,1,0,0.00001,32,6.09,0.035,4.347838368,0.418035676,1.250835411,18.69767766,0.803302843,0.168974074,26.75459946,5.732482707,2.044171712,2.176677819,21.43177513,1.853362918,0.899318948,49.85014839,0.078,651,96444.44444,0.992,0.01488,2.9,0.358024691,0.0647,0.0009705,8.43E-05,0.000414914,15.33230294
417-05 Re2D,4175,Re,2,D,1,0,0.00001,40,5.83,0.02,6.022435381,0.717305102,0.702421165,23.81852136,1.202562708,0.310314852,30.45957793,2.742074548,0.559933061,1.51206837,40.01622353,1.290641554,0.045115714,56.85766103,0.076,NA,NA,2.373,0.035595,NA,NA,0.2995,0.0044925,NA,NA,7.923205342
485-07 Ca1A,485,Ca,1,A,2,15,11.5,24.5,7.58,0.335,57.74123364,6.74153684,21.99894613,96.25814751,6.237611265,0.475859805,199.8616354,174.3960056,27.0151467,96.02122214,284.6294334,27.59439478,13.66725619,135.5122238,0.323,13355.7,1978622.222,2.9547,0.0443205,1892.6,233654.321,0.8969,0.0134535,7.93E-05,0.000114573,3.294347196
485-07 Ca1B,485,Ca,1,B,2,10,16.3,23.9,7.61,0.242,5.981345157,0.605166138,3.997413798,21.43875818,1.109471253,0.74849496,49.31380727,54.10163145,3.208621398,9.352896545,65.69705647,5.285551232,4.162385496,39.1217717,0.223,10848.7,1607214.815,4.7117,0.0706755,1719.6,212296.2963,1.4039,0.0210585,2.34E-05,3.17E-05,3.356150723
